# First 4520 nontrivial Riemann zeta zeros (imaginary parts gamma_n)
# Source: David Platt computation, LMFDB (lmfdb.org/zeros/zeta), interval t in (14, 5000]
# Decoded from Platt binary format (100-bit precision). First 5 match Odlyzko published values.
n,gamma
1,14.134725142
2,21.022039639
3,25.010857580
4,30.424876126
5,32.935061588
6,37.586178159
7,40.918719012
8,43.327073281
9,48.005150881
10,49.773832478
11,52.970321478
12,56.446247697
13,59.347044003
14,60.831778525
15,65.112544048
16,67.079810529
17,69.546401711
18,72.067157674
19,75.704690699
20,77.144840069
21,79.337375020
22,82.910380854
23,84.735492981
24,87.425274613
25,88.809111208
26,92.491899271
27,94.651344041
28,95.870634228
29,98.831194218
30,101.317851006
31,103.725538040
32,105.446623052
33,107.168611184
34,111.029535543
35,111.874659177
36,114.320220915
37,116.226680321
38,118.790782866
39,121.370125002
40,122.946829294
41,124.256818554
42,127.516683880
43,129.578704200
44,131.087688531
45,133.497737203
46,134.756509753
47,138.116042055
48,139.736208952
49,141.123707404
50,143.111845808
51,146.000982487
52,147.422765343
53,150.053520421
54,150.925257612
55,153.024693811
56,156.112909294
57,157.597591818
58,158.849988171
59,161.188964138
60,163.030709687
61,165.537069188
62,167.184439978
63,169.094515416
64,169.911976479
65,173.411536520
66,174.754191523
67,176.441434298
68,178.377407776
69,179.916484020
70,182.207078484
71,184.874467848
72,185.598783678
73,187.228922584
74,189.416158656
75,192.026656361
76,193.079726604
77,195.265396680
78,196.876481841
79,198.015309676
80,201.264751944
81,202.493594514
82,204.189671803
83,205.394697202
84,207.906258888
85,209.576509717
86,211.690862595
87,213.347919360
88,214.547044783
89,216.169538508
90,219.067596349
91,220.714918839
92,221.430705555
93,224.007000255
94,224.983324670
95,227.421444280
96,229.337413306
97,231.250188700
98,231.987235253
99,233.693404179
100,236.524229666
101,237.769820481
102,239.555477573
103,241.049157796
104,242.823271934
105,244.070898497
106,247.136990075
107,248.101990060
108,249.573689645
109,251.014947795
110,253.069986748
111,255.306256455
112,256.380713694
113,258.610439492
114,259.874406990
115,260.805084505
116,263.573893905
117,265.557851839
118,266.614973782
119,267.921915083
120,269.970449024
121,271.494055642
122,273.459609188
123,275.587492649
124,276.452049503
125,278.250743530
126,279.229250928
127,282.465114765
128,283.211185733
129,284.835963981
130,286.667445363
131,287.911920501
132,289.579854929
133,291.846291329
134,293.558434139
135,294.965369619
136,295.573254879
137,297.979277062
138,299.840326054
139,301.649325462
140,302.696749590
141,304.864371341
142,305.728912602
143,307.219496128
144,310.109463147
145,311.165141530
146,312.427801181
147,313.985285731
148,315.475616089
149,317.734805942
150,318.853104256
151,321.160134309
152,322.144558672
153,323.466969558
154,324.862866052
155,327.443901262
156,329.033071680
157,329.953239728
158,331.474467583
159,333.645378525
160,334.211354833
161,336.841850428
162,338.339992851
163,339.858216725
164,341.042261111
165,342.054877510
166,344.661702940
167,346.347870566
168,347.272677584
169,349.316260871
170,350.408419349
171,351.878649025
172,353.488900489
173,356.017574977
174,357.151302252
175,357.952685102
176,359.743754953
177,361.289361696
178,363.331330579
179,364.736024114
180,366.212710288
181,367.993575482
182,368.968438096
183,370.050919212
184,373.061928372
185,373.864873911
186,375.825912767
187,376.324092231
188,378.436680250
189,379.872975347
190,381.484468617
191,383.443529450
192,384.956116815
193,385.861300846
194,387.222890222
195,388.846128354
196,391.456083564
197,392.245083340
198,393.427743844
199,395.582870011
200,396.381854223
201,397.918736210
202,399.985119876
203,401.839228601
204,402.861917764
205,404.236441800
206,405.134387460
207,407.581460387
208,408.947245502
209,410.513869193
210,411.972267804
211,413.262736070
212,415.018809755
213,415.455214996
214,418.387705790
215,419.861364818
216,420.643827625
217,422.076710059
218,423.716579627
219,425.069882494
220,427.208825084
221,428.127914077
222,430.328745431
223,431.301306931
224,432.138641735
225,433.889218481
226,436.161006433
227,437.581698168
228,438.621738656
229,439.918442214
230,441.683199201
231,442.904546303
232,444.319336278
233,446.860622696
234,447.441704194
235,449.148545685
236,450.126945780
237,451.403308445
238,453.986737807
239,454.974683769
240,456.328426689
241,457.903893064
242,459.513415281
243,460.087944422
244,462.065367275
245,464.057286911
246,465.671539211
247,466.570286931
248,467.439046210
249,469.536004559
250,470.773655478
251,472.799174662
252,473.835232345
253,475.600339369
254,476.769015237
255,478.075263767
256,478.942181535
257,481.830339376
258,482.834782791
259,483.851427212
260,485.539148129
261,486.528718262
262,488.380567090
263,489.661761578
264,491.398821594
265,493.314441582
266,493.957997805
267,495.358828822
268,496.429696216
269,498.580782430
270,500.309084942
271,501.604446965
272,502.276270327
273,504.499773313
274,505.415231742
275,506.464152710
276,508.800700336
277,510.264227944
278,511.562289700
279,512.623144531
280,513.668985555
